Badamia exclamationis,Hesperiidae
Bibasis etelka,Hesperiidae
Bibasis harisa,Hesperiidae
Bibasis sena,Hesperiidae
Hasora badra,Hesperiidae
Hasora chromus,Hesperiidae
Hasora schoenherr,Hesperiidae
Hasora taminatus,Hesperiidae
Hasora vitta,Hesperiidae
Ampittia dioscorides,Hesperiidae
Ancistroides gemmifer,Hesperiidae
Ancistroides nigrita,Hesperiidae
Astictopterus jama,Hesperiidae
Baoris farri,Hesperiidae
Baoris oceia,Hesperiidae
Borbo cinnara,Hesperiidae
Caltoris cormasa,Hesperiidae
Caltoris malaya,Hesperiidae
Cephrenes acalle,Hesperiidae
Eetion elia,Hesperiidae
Erionota acroleuca,Hesperiidae
Erionota thrax,Hesperiidae
Gangara lebadea,Hesperiidae
Gangara thyrsis,Hesperiidae
Halpe homolea,Hesperiidae
Halpe insignis,Hesperiidae
Halpe ormenes,Hesperiidae
Hidari irava,Hesperiidae
Hyarotis adrastus,Hesperiidae
Iambrix salsala,Hesperiidae
Iambrix stellifer,Hesperiidae
Isma bononia,Hesperiidae
Isma protoclea,Hesperiidae
Matapa aria,Hesperiidae
Notocrypta paralysos,Hesperiidae
Oriens gola,Hesperiidae
Oriens paragola,Hesperiidae
Pelopidas agna,Hesperiidae
Pelopidas mathias,Hesperiidae
Pemara pugnans,Hesperiidae
Plastingia naga,Hesperiidae
Plastingia pellonia,Hesperiidae
Polytremis lubricans,Hesperiidae
Potanthus omaha,Hesperiidae
Potanthus serina,Hesperiidae
Potanthus trachala,Hesperiidae
Pyroneura derna,Hesperiidae
Pyroneura latoia,Hesperiidae
Quedara monteithi,Hesperiidae
Suastus everyx,Hesperiidae
Telicota augias,Hesperiidae
Telicota besta,Hesperiidae
Telicota colon,Hesperiidae
Udaspes folus,Hesperiidae
Unkana ambasa,Hesperiidae
Zela cowani,Hesperiidae
Zela storeyi,Hesperiidae
Zographetus doxus,Hesperiidae
Zographetus ogygia,Hesperiidae
Capila phanaeus,Hesperiidae
Celaenorrhinus asmara,Hesperiidae
Gerosis limax,Hesperiidae
Odina hieroglyphica,Hesperiidae
Odontoptilum angulatum,Hesperiidae
Pseudocoladenia dan,Hesperiidae
Tagiades calligana,Hesperiidae
Tagiades gana,Hesperiidae
Tagiades japetus,Hesperiidae
Tagiades ultra,Hesperiidae
Tapena thwaitesi,Hesperiidae
Spindasis lohita,Lycaenidae
Spindasis syama,Lycaenidae
Curetis regula,Lycaenidae
Curetis santana,Lycaenidae
Curetis saronis,Lycaenidae
Pratapa deva,Lycaenidae
Allotinus unicolor,Lycaenidae
Liphyra brassolis,Lycaenidae
Logania marmorata,Lycaenidae
Miletus biggsii,Lycaenidae
Miletus gopara,Lycaenidae
Miletus symethus,Lycaenidae
Spalgis epius,Lycaenidae
Acytolepis puspa,Lycaenidae
Anthene emolus,Lycaenidae
Anthene lycaenina,Lycaenidae
Caleta elna,Lycaenidae
Castalius rosimon,Lycaenidae
Catochrysops panormus,Lycaenidae
Catochrysops strabo,Lycaenidae
Chilades pandava,Lycaenidae
Euchrysops cnejus,Lycaenidae
Everes lacturnus,Lycaenidae
Ionolyce helicon,Lycaenidae
Jamides alecto,Lycaenidae
Jamides bochus,Lycaenidae
Jamides caeruleus,Lycaenidae
Jamides celeno,Lycaenidae
Jamides elpis,Lycaenidae
Jamides malaccanus,Lycaenidae
Lampides boeticus,Lycaenidae
Nacaduba angusta,Lycaenidae
Nacaduba berenice,Lycaenidae
Nacaduba calauria,Lycaenidae
Nacaduba kurava,Lycaenidae
Nacaduba pactolus,Lycaenidae
Nacaduba pavana,Lycaenidae
Nacaduba sanaya,Lycaenidae
Neopithecops zalmora,Lycaenidae
Prosotas aluta,Lycaenidae
Prosotas dubiosa,Lycaenidae
Prosotas nora,Lycaenidae
Zizeeria karsandra,Lycaenidae
Zizina otis,Lycaenidae
Zizula hylax,Lycaenidae
Deramas livens,Lycaenidae
Poritia erycinoides,Lycaenidae
Poritia philota,Lycaenidae
Poritia pleurata,Lycaenidae
Poritia sumatrae,Lycaenidae
Simiskina pediada,Lycaenidae
Simiskina phalia,Lycaenidae
Simiskina pheretia,Lycaenidae
Ancema blanka,Lycaenidae
Araotes lapithis,Lycaenidae
Arhopala abseus,Lycaenidae
Arhopala achelous,Lycaenidae
Arhopala agelastus,Lycaenidae
Arhopala alitaeus,Lycaenidae
Arhopala allata,Lycaenidae
Arhopala ammon,Lycaenidae
Arhopala amphimuta,Lycaenidae
Arhopala antimuta,Lycaenidae
Arhopala aroa,Lycaenidae
Arhopala athada,Lycaenidae
Arhopala atosia,Lycaenidae
Arhopala aurea,Lycaenidae
Arhopala centaurus,Lycaenidae
Arhopala democritus,Lycaenidae
Arhopala epimuta,Lycaenidae
Arhopala eumolphus,Lycaenidae
Arhopala hypomuta,Lycaenidae
Arhopala major,Lycaenidae
Arhopala muta,Lycaenidae
Arhopala silhetensis,Lycaenidae
Arhopala sublustris,Lycaenidae
Arhopala trogon,Lycaenidae
Arhopala vihara,Lycaenidae
Bindahara phocides,Lycaenidae
Catapaecilma major,Lycaenidae
Cheritra freja,Lycaenidae
Deudorix elioti,Lycaenidae
Deudorix epijarbas,Lycaenidae
Deudorix staudingeri,Lycaenidae
Drina cowani,Lycaenidae
Drupadia ravindra,Lycaenidae
Drupadia rufotaenia,Lycaenidae
Drupadia theda,Lycaenidae
Eooxylides tharis,Lycaenidae
Flos anniella,Lycaenidae
Flos apidanus,Lycaenidae
Flos diardi,Lycaenidae
Flos fulgida,Lycaenidae
Horaga syrinx,Lycaenidae
Hypolycaena erylus,Lycaenidae
Hypolycaena thecloides,Lycaenidae
Iraota rochana,Lycaenidae
Jacoona anasuja,Lycaenidae
Loxura atymnus,Lycaenidae
Manto hypoleuca,Lycaenidae
Neocheritra amrita,Lycaenidae
Pseudotajuria donatana,Lycaenidae
Rachana jalindra,Lycaenidae
Rapala dieneces,Lycaenidae
Rapala domitia,Lycaenidae
Rapala iarbus,Lycaenidae
Rapala manea,Lycaenidae
Rapala pheretima,Lycaenidae
Rapala suffusa,Lycaenidae
Rapala varuna,Lycaenidae
Remelana jangala,Lycaenidae
Semanga superba,Lycaenidae
Sinthusa nasaka,Lycaenidae
Sithon nedymond,Lycaenidae
Surendra florimel,Lycaenidae
Surendra vivarna,Lycaenidae
Tajuria cippus,Lycaenidae
Tajuria deudorix,Lycaenidae
Tajuria dominus,Lycaenidae
Tajuria mantra,Lycaenidae
Zeltus amasa,Lycaenidae
Eulaceura osteria,Nymphalidae
Euripus nyctelius,Nymphalidae
Ariadne isaeus,Nymphalidae
Laringa castelnaui,Nymphalidae
Charaxes solon,Nymphalidae
Polyura hebe,Nymphalidae
Polyura schreiber,Nymphalidae
Chersonesia peraka,Nymphalidae
Danaus chrysippus,Nymphalidae
Danaus genutia,Nymphalidae
Danaus melanippus,Nymphalidae
Euploea camaralzeman,Nymphalidae
Euploea crameri,Nymphalidae
Euploea eunice,Nymphalidae
Euploea eyndhovii,Nymphalidae
Euploea midamus,Nymphalidae
Euploea mulciber,Nymphalidae
Euploea phaenareta,Nymphalidae
Euploea radamanthus,Nymphalidae
Euploea tulliolus,Nymphalidae
Idea leuconoe,Nymphalidae
Idea stolli,Nymphalidae
Ideopsis gaura,Nymphalidae
Ideopsis vulgaris,Nymphalidae
Parantica agleoides,Nymphalidae
Parantica melaneus,Nymphalidae
Cethosia hypsea,Nymphalidae
Cethosia methypsea,Nymphalidae
Cirrochroa emalea,Nymphalidae
Cirrochroa orissa,Nymphalidae
Cupha erymanthis,Nymphalidae
Hypolimnas bolina,Nymphalidae
Phalanta phalantha,Nymphalidae
Terinos atlita,Nymphalidae
Terinos terpander,Nymphalidae
Vindula dejone,Nymphalidae
Athyma asura,Nymphalidae
Athyma kanwa,Nymphalidae
Athyma nefte,Nymphalidae
Athyma pravara,Nymphalidae
Athyma reta,Nymphalidae
Euthalia aconthea,Nymphalidae
Euthalia adonia,Nymphalidae
Euthalia merta,Nymphalidae
Euthalia monina,Nymphalidae
Lasippa heliodore,Nymphalidae
Lasippa tiga,Nymphalidae
Lebadea martha,Nymphalidae
Lexias canescens,Nymphalidae
Lexias dirtea,Nymphalidae
Lexias pardalis,Nymphalidae
Moduza procris,Nymphalidae
Neptis harita,Nymphalidae
Neptis hylas,Nymphalidae
Neptis leucoporos,Nymphalidae
Neptis magadha,Nymphalidae
Pandita sinope,Nymphalidae
Pantoporia hordonia,Nymphalidae
Pantoporia paraka,Nymphalidae
Pantoporia sandaka,Nymphalidae
Phaedyma columella,Nymphalidae
Tanaecia iapis,Nymphalidae
Tanaecia pelea,Nymphalidae
Doleschallia bisaltide,Nymphalidae
Hypolimnas anomala,Nymphalidae
Hypolimnas misippus,Nymphalidae
Junonia almana,Nymphalidae
Junonia atlites,Nymphalidae
Junonia hedonia,Nymphalidae
Junonia orithya,Nymphalidae
Amathusia phidippus,Nymphalidae
Discophora sondaica,Nymphalidae
Elymnias hypermnestra,Nymphalidae
Elymnias panthera,Nymphalidae
Elymnias penanga,Nymphalidae
Faunis canens,Nymphalidae
Faunis gracilis,Nymphalidae
Lethe europa,Nymphalidae
Melanitis leda,Nymphalidae
Melanocyma faunula,Nymphalidae
Mycalesis fusca,Nymphalidae
Mycalesis mineus,Nymphalidae
Mycalesis orseis,Nymphalidae
Mycalesis perseoides,Nymphalidae
Mycalesis perseus,Nymphalidae
Mycalesis visala,Nymphalidae
Orsotriaena medus,Nymphalidae
Taenaris horsfieldii,Nymphalidae
Thaumantis klugius,Nymphalidae
Ypthima baldus,Nymphalidae
Ypthima fasciata,Nymphalidae
Ypthima horsfieldii,Nymphalidae
Ypthima huebneri,Nymphalidae
Ypthima pandocus,Nymphalidae
Zeuxidia amethystus,Nymphalidae
Chilasa clytia,Papilionidae
Chilasa paradoxa,Papilionidae
Graphium agamemnon,Papilionidae
Graphium arycles,Papilionidae
Graphium evemon,Papilionidae
Graphium sarpedon,Papilionidae
Pachliopta aristolochiae,Papilionidae
Papilio demoleus,Papilionidae
Papilio demolion,Papilionidae
Papilio iswara,Papilionidae
Papilio memnon,Papilionidae
Papilio polytes,Papilionidae
Papilio prexaspes,Papilionidae
Pathysa antiphates,Papilionidae
Troides helena,Papilionidae
Catopsilia pomona,Pieridae
Catopsilia pyranthe,Pieridae
Catopsilia scylla,Pieridae
Eurema andersonii,Pieridae
Eurema blanda,Pieridae
Eurema brigitta,Pieridae
Eurema hecabe,Pieridae
Eurema lacteola,Pieridae
Eurema sari,Pieridae
Eurema simulatrix,Pieridae
Gandaca harina,Pieridae
Appias libythea,Pieridae
Appias nero,Pieridae
Cepora iudith,Pieridae
Delias hyparete,Pieridae
Delias pasithoe,Pieridae
Delias singhapura,Pieridae
Leptosia nina,Pieridae
Pieris canidia,Pieridae
Abisara geza,Riodinidae
Abisara saturata,Riodinidae
Abisara savitri,Riodinidae
Laxita thuisto,Riodinidae
Taxila haquinus,Riodinidae
Caltoris philippina,Hesperiidae
Erionota torus,Hesperiidae
Virachola kessuma,Lycaenidae
Arhopala pseudomuta,Lycaenidae
Arhopala aedias,Lycaenidae
Arhopala myrzala,Lycaenidae
Nacaduba beroe,Lycaenidae
Nacaduba russelli,Lycaenidae
Dophla evelina,Nymphalidae
Arhopala agrata,Lycaenidae
Allotinus horsfieldi,Lycaenidae
Allotinus davidis,Lycaenidae
Chersonesia rahria,Nymphalidae
Acerbas anthea,Hesperiidae
Arhopala avathina,Lycaenidae
Erionota sybirita,Hesperiidae
Notocrypta clavata,Hesperiidae
Salanoemia sala,Hesperiidae
Drina maneia,Lycaenidae
Drupadia scaeva,Lycaenidae
Lycaenopsis haraldus,Lycaenidae
Miletus gaesa,Lycaenidae
Scobura phiditia,Hesperiidae
Xanthotaenia busiris,Nymphalidae
Arhopala corinda,Lycaenidae
Charaxes bernardus,Nymphalidae
Arhopala wildeyana,Lycaenidae
Bullis buto,Lycaenidae
Horaga chalcedonyx,Lycaenidae
Horaga albimacula,Lycaenidae
Horaga onyx,Lycaenidae
Arhopala moorei,Lycaenidae
Arhopala phanda,Lycaenidae
Rapala cowani,Lycaenidae
Arhopala kurzi,Lycaenidae
Tanaecia munda,Nymphalidae
Elymnias esaca,Nymphalidae
Arhopala fulla,Lycaenidae
Zographetus rama,Hesperiidae
Allotinus strigatus,Lycaenidae
Allotinus substrigosus,Lycaenidae
Allotinus subviolaceus,Lycaenidae
Arhopala ariel,Lycaenidae
Arhopala inornata,Lycaenidae
Arhopala barami,Lycaenidae
Arhopala metamuta,Lycaenidae
Arhopala milleri,Lycaenidae
Curetis bulis,Lycaenidae
Curetis sperthis,Lycaenidae
Iraota timoleon,Lycaenidae
Jamides abdul,Lycaenidae
Jamides pura,Lycaenidae
Mantoides gama,Lycaenidae
Athyma perius,Nymphalidae
Choaspes subcaudatus,Hesperiidae
Nacaduba hermus,Lycaenidae
Dercas verhuelli,Pieridae
Nacaduba pendleburyi,Lycaenidae
Eurema ada,Pieridae
Hasora lizetta,Hesperiidae
Idmon distanti,Hesperiidae
Idmon obliquans,Hesperiidae
Nacaduba subperusia,Lycaenidae
Pratapa icetoides,Lycaenidae
Neptis miah,Nymphalidae
Pantoporia aurelia,Nymphalidae
Pantoporia dindinga,Nymphalidae
Parnara bada,Hesperiidae
Potanthus confucius,Hesperiidae
Potanthus juno,Hesperiidae
Purlisa gigantea,Lycaenidae
Prothoe franck,Nymphalidae
Rapala abnormis,Lycaenidae
Psolos fuligo,Hesperiidae
Zemeros flegyas,Riodinidae
Una usta,Lycaenidae
Tanaecia godartii,Nymphalidae
Arhopala lurida,Lycaenidae
Arhopala normani,Lycaenidae
Jamides philatus,Lycaenidae
Arhopala delta,Lycaenidae
Euthalia djata,Nymphalidae
Gerosis phisara,Hesperiidae
Gerosis tristis,Hesperiidae
Choaspes plateni,Hesperiidae
Iraota distanti,Lycaenidae
Simiskina phalena,Lycaenidae
Parnara ganga,Hesperiidae